iter	Passed	Remaining
0	133	133301
1	134	67297
2	136	45300
3	137	34282
4	138	27649
5	140	23197
6	141	20039
7	142	17693
8	143	15848
9	145	14384
10	146	13188
11	147	12174
12	149	11312
13	150	10574
14	151	9933
15	152	9370
16	153	8882
17	154	8442
18	156	8056
19	157	7710
20	158	7397
21	159	7103
22	161	6846
23	162	6601
24	163	6376
25	164	6173
26	166	5983
27	167	5810
28	168	5642
29	169	5487
30	171	5350
31	172	5220
32	173	5092
33	174	4968
34	176	4856
35	177	4751
36	178	4650
37	179	4553
38	181	4461
39	182	4374
40	183	4288
41	184	4210
42	186	4149
43	188	4087
44	189	4019
45	190	3953
46	191	3891
47	193	3833
48	194	3775
49	195	3718
50	196	3662
51	197	3608
52	199	3560
53	200	3516
54	202	3471
55	203	3429
56	204	3387
57	206	3346
58	207	3311
59	208	3273
60	210	3234
61	211	3198
62	212	3161
63	213	3124
64	214	3092
65	216	3062
66	217	3030
67	218	2998
68	219	2967
69	221	2937
70	222	2909
71	223	2880
72	224	2852
73	225	2823
74	226	2796
75	227	2770
76	229	2748
77	230	2725
78	231	2703
79	232	2678
80	234	2655
81	235	2632
82	235	2605
83	237	2586
84	238	2564
85	239	2544
86	240	2523
87	241	2504
88	242	2485
89	244	2467
90	245	2451
91	246	2434
92	247	2416
93	248	2399
94	250	2384
95	251	2367
96	252	2351
97	253	2335
98	254	2319
99	256	2304
100	257	2289
101	258	2273
102	259	2260
103	261	2250
104	262	2236
105	263	2222
106	264	2210
107	266	2198
108	267	2186
109	268	2174
110	270	2162
111	271	2151
112	272	2139
113	273	2127
114	275	2116
115	276	2109
116	277	2096
117	279	2085
118	280	2075
119	281	2065
120	282	2055
121	283	2043
122	285	2033
123	286	2023
124	287	2012
125	288	2003
126	289	1992
127	291	1986
128	292	1978
129	294	1969
130	295	1959
131	296	1951
132	298	1943
133	299	1936
134	300	1927
135	302	1919
136	303	1910
137	304	1902
138	306	1896
139	307	1888
140	308	1881
141	309	1871
142	311	1864
143	312	1857
144	313	1849
145	315	1842
146	316	1835
147	317	1827
148	318	1820
149	320	1813
150	321	1808
151	323	1802
152	324	1795
153	325	1788
154	326	1781
155	328	1776
156	329	1770
157	330	1763
158	332	1757
159	333	1750
160	334	1742
161	335	1737
162	337	1732
163	338	1725
164	339	1719
165	341	1714
166	342	1708
167	343	1703
168	345	1696
169	346	1691
170	347	1685
171	348	1679
172	350	1675
173	351	1670
174	353	1665
175	354	1660
176	355	1654
177	357	1649
178	358	1643
179	359	1639
180	361	1633
181	362	1629
182	363	1624
183	365	1619
184	366	1615
185	368	1610
186	369	1606
187	370	1600
188	371	1595
189	373	1590
190	374	1585
191	375	1580
192	376	1575
193	378	1570
194	379	1566
195	381	1563
196	382	1559
197	384	1555
198	385	1550
199	386	1546
200	387	1541
201	389	1537
202	390	1533
203	391	1529
204	393	1524
205	394	1520
206	396	1519
207	398	1515
208	399	1511
209	400	1507
210	402	1503
211	403	1500
212	405	1496
213	406	1492
214	407	1488
215	409	1484
216	410	1482
217	412	1479
218	413	1475
219	414	1471
220	416	1467
221	417	1463
222	419	1460
223	420	1456
224	421	1453
225	423	1449
226	424	1445
227	426	1442
228	427	1439
229	428	1435
230	430	1432
231	431	1428
232	432	1424
233	433	1420
234	435	1416
235	436	1412
236	437	1408
237	438	1405
238	440	1402
239	441	1399
240	443	1395
241	444	1392
242	445	1388
243	447	1385
244	448	1382
245	449	1378
246	451	1375
247	452	1371
248	453	1367
249	454	1364
250	456	1361
251	457	1358
252	458	1354
253	460	1351
254	461	1348
255	462	1345
256	464	1341
257	465	1338
258	466	1334
259	467	1331
260	469	1328
261	470	1326
262	472	1323
263	473	1321
264	475	1317
265	476	1314
266	477	1312
267	479	1308
268	480	1305
269	481	1302
270	483	1299
271	484	1296
272	485	1293
273	487	1290
274	488	1288
275	490	1285
276	491	1282
277	492	1279
278	494	1276
279	495	1273
280	496	1270
281	497	1267
282	499	1264
283	500	1262
284	502	1260
285	503	1257
286	505	1255
287	506	1252
288	508	1250
289	509	1248
290	511	1246
291	512	1243
292	514	1240
293	515	1238
294	517	1235
295	518	1233
296	520	1231
297	521	1228
298	522	1225
299	524	1223
300	525	1220
301	526	1217
302	528	1215
303	529	1213
304	531	1211
305	532	1208
306	534	1206
307	535	1203
308	536	1200
309	538	1197
310	539	1195
311	540	1192
312	542	1190
313	543	1187
314	545	1185
315	546	1183
316	548	1181
317	549	1179
318	551	1176
319	552	1174
320	553	1171
321	555	1169
322	556	1166
323	557	1163
324	559	1162
325	562	1162
326	563	1160
327	565	1157
328	566	1155
329	567	1152
330	568	1149
331	570	1147
332	571	1144
333	572	1142
334	573	1139
335	575	1137
336	577	1135
337	578	1133
338	579	1130
339	581	1128
340	582	1125
341	584	1123
342	585	1121
343	586	1118
344	587	1116
345	589	1113
346	590	1111
347	592	1109
348	593	1106
349	594	1104
350	595	1101
